
T64,4,,Cameron Smith (SC),E,F*,1,70,71,74,73,288,6,5,1,
T64,8,,Doc Redman (SC),E,F*,-1,70,73,74,71,288,73,68,5,
T68,5,,Byeong Hun An (SC),1,F*,-1,67,74,77,71,289,26,24,2,
T68,10,,Billy Horschel (SC),1,F*,-3,68,72,80,69,289,59,55,4,
70,20,,Rhein Gibson (SC),2,F*,4,69,73,72,76,290,168,165,3,
T71,3,,Harris English (SC),3,F*,3,72,70,74,75,291,23,20,3,
T71,7,,Chase Seiffert (SC),3,F*,-1,71,71,78,71,291,119,114,5,
T73,23,,Chris Baker (SC),4,F*,6,72,68,74,78,292,177,175,2,
T73,13,,Bill Haas (SC),4,F*,5,72,70,73,77,292,190,192,2,
T73,5,,Matt Jones (SC),4,F*,4,75,68,73,76,292,80,72,8,
T73,--,,Richy Werenski (SC),4,F*,2,72,68,78,74,292,74,66,8,
T73,3,,Dylan Frittelli (SC),4,F*,1,76,66,77,73,292,40,37,3,
78,5,,Trey Mullinax (SC),8,F*,6,77,66,75,78,296,236,T236,--,
79,3,,Dominic Bozzelli (SC),9,F*,6,68,73,78,78,297,115,107,8,
,,,,,,,,,,,,,,,
CUT,--,,Rory Sabbatini,E,--,--,71,73,--,--,144,109,102,7,
CUT,--,,Bronson Burgoon,E,--,--,74,70,--,--,144,60,54,6,
CUT,--,,Rickie Fowler,E,--,--,75,69,--,--,144,82,71,11,
CUT,--,,Xander Schauffele,E,--,--,74,70,--,--,144,12,11,1,
CUT,--,,Harold Varner III,E,--,--,74,70,--,--,144,85,78,7,
CUT,--,,Vincent Whaley,E,--,--,68,76,--,--,144,181,178,3,
CUT,--,,Kyle Stanley,E,--,--,73,71,--,--,144,153,T143,10,
CUT,--,,Emiliano Grillo,E,--,--,71,73,--,--,144,107,98,9,
CUT,--,,Brandon Hagy,E,--,--,74,70,--,--,144,T195,191,4,
CUT,--,,Martin Trainer,E,--,--,73,71,--,--,144,200,196,4,
CUT,--,,C.T. Pan,E,--,--,73,71,--,--,144,152,142,10,
CUT,--,,KK Limbhasut,E,--,--,69,75,--,--,144,--,--,--,
CUT,--,,Eddie Olson,E,--,--,72,72,--,--,144,--,--,--,
CUT,--,,Michael Thompson,1,--,--,71,74,--,--,145,175,171,4,
CUT,--,,Roger Sloan,1,--,--,76,69,--,--,145,163,154,9,
CUT,--,,Gary Woodland,1,--,--,75,70,--,--,145,38,33,5,
CUT,--,,Justin Rose,1,--,--,75,70,--,--,145,189,183,6,
CUT,--,,Austin Cook,1,--,--,76,69,--,--,145,124,113,11,
CUT,--,,Phil Mickelson,1,--,--,72,73,--,--,145,167,162,5,
CUT,--,,D.J. Trahan,1,--,--,75,70,--,--,145,86,79,7,
CUT,--,,Vince Covello,1,--,--,70,75,--,--,145,218,218,--,
CUT,--,,Mackenzie Hughes,1,--,--,73,72,--,--,145,214,T212,2,
CUT,--,,Fabián Gómez,1,--,--,75,70,--,--,145,92,85,7,
CUT,--,,Robert Streb,1,--,--,75,70,--,--,145,102,94,8,
CUT,--,,Tim Wilkinson,1,--,--,72,73,--,--,145,136,128,8,
CUT,--,,"Ted Potter, Jr.",1,--,--,73,72,--,--,145,125,115,10,
CUT,--,,Michael Gligic,1,--,--,71,74,--,--,145,155,146,9,
CUT,--,,Kristoffer Ventura,1,--,--,71,74,--,--,145,173,168,5,
CUT,--,,Peter Malnati,2,--,--,71,75,--,--,146,110,103,7,
CUT,--,,Sam Ryder,2,--,--,73,73,--,--,146,96,90,6,
CUT,--,,Bud Cauley,2,--,--,71,75,--,--,146,49,46,3,
CUT,--,,K.J. Choi,2,--,--,72,74,--,--,146,174,170,4,
CUT,--,,Steve Stricker,2,--,--,74,72,--,--,146,T237,T236,1,
