Tournament,Group,Golfer,Current OWGR,Last Week OWGR,End of last year OWGR,Recent Tournament 1,Recent Toounament 1 result,Recent Tournament 2,Recent Toounament 2 result,Recent Tournament 3,Recent Toounament 3 result,Recent Tournament 4,Recent Toounament 4 result
PGA Championship,5,Kevin Kisner,44,43,25,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,5,Robert MacIntyre,45,45,55,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,5,Sergio Garcia,46,46,46,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,CUT
PGA Championship,5,Brian Harman,47,48,91,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,T18,AT&T Byron Nelson,DNP
PGA Championship,5,Shane Lowry,48,47,33,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,T65,AT&T Byron Nelson,DNP
PGA Championship,5,Matt Kuchar,49,49,37,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,T17
PGA Championship,5,Si Woo Kim,50,50,95,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,T55
PGA Championship,5,Garrick Higgo,51,51,90,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Matt Wallace,52,52,50,Zurich Classic of New Orleans,T23,Valspar Championship,DNP,Wells Fargo Championship,T6,AT&T Byron Nelson,DNP
PGA Championship,6,Gary Woodland,53,53,39,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,5,AT&T Byron Nelson,DNP
PGA Championship,6,Carlos Ortiz,54,54,61,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,T65,AT&T Byron Nelson,T21
PGA Championship,6,Bubba Watson,55,55,44,Zurich Classic of New Orleans,T8,Valspar Championship,T13,Wells Fargo Championship,T18,AT&T Byron Nelson,DNP
PGA Championship,6,Matt Jones,56,56,113,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,T37,AT&T Byron Nelson,DNP
PGA Championship,6,Russell Henley,57,57,57,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,T72,AT&T Byron Nelson,DNP
PGA Championship,6,Mackenzie Hughes,58,58,49,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,CUT,AT&T Byron Nelson,DNP
PGA Championship,6,K.H. Lee,59,137,272,Zurich Classic of New Orleans,T23,Valspar Championship,T29,Wells Fargo Championship,T58,AT&T Byron Nelson,1
PGA Championship,6,Brendon Todd,60,59,47,Zurich Classic of New Orleans,27,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Lanto Griffin,61,61,63,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,T26,AT&T Byron Nelson,DNP
PGA Championship,6,Bernd Wiesberger,62,60,40,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Chris Kirk,63,64,265,Zurich Classic of New Orleans,27,Valspar Championship,CUT,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Kevin Streelman,64,63,52,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,T26,AT&T Byron Nelson,DNP
PGA Championship,6,Jason Day,65,62,43,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,CUT,AT&T Byron Nelson,CUT
PGA Championship,6,Cameron Tringale,66,67,103,Zurich Classic of New Orleans,CUT,Valspar Championship,T3,Wells Fargo Championship,CUT,AT&T Byron Nelson,DNP
PGA Championship,6,Ian Poulter,67,65,48,Zurich Classic of New Orleans,DNP,Valspar Championship,T21,Wells Fargo Championship,CUT,AT&T Byron Nelson,DNP
PGA Championship,6,Joel Dahmen,68,66,64,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,T18,AT&T Byron Nelson,DNP
PGA Championship,6,Rikuya Hoshino,69,100,114,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Andy Sullivan,70,72,58,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Sebastián Muñoz,71,68,60,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,CUT,AT&T Byron Nelson,T55
PGA Championship,6,Talor Gooch,72,73,81,Zurich Classic of New Orleans,T17,Valspar Championship,CUT,Wells Fargo Championship,T26,AT&T Byron Nelson,T39
PGA Championship,6,Keegan Bradley,73,69,131,Zurich Classic of New Orleans,T4,Valspar Championship,2,Wells Fargo Championship,T18,AT&T Byron Nelson,DNP
PGA Championship,6,Antoine Rozner,74,70,120,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,CUT
PGA Championship,6,Charley Hoffman,75,71,144,Zurich Classic of New Orleans,T11,Valspar Championship,T18,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Emiliano Grillo,76,74,156,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,T14,AT&T Byron Nelson,DNP
PGA Championship,6,Takumi Kanaya,77,76,123,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Erik van Rooyen,78,75,51,Zurich Classic of New Orleans,T17,Valspar Championship,CUT,Wells Fargo Championship,CUT,AT&T Byron Nelson,CUT
PGA Championship,6,Daniel van Tonder,79,77,152,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,John Catlin,80,78,99,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,CUT
PGA Championship,6,Dylan Frittelli,81,79,68,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Brendan Steele,82,81,122,Zurich Classic of New Orleans,T4,Valspar Championship,DNP,Wells Fargo Championship,T70,AT&T Byron Nelson,DNP
PGA Championship,6,Chan Kim,83,80,74,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Harold Varner III,84,82,130,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,CUT,AT&T Byron Nelson,DNP
PGA Championship,6,Adam Long,85,83,62,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,CUT,AT&T Byron Nelson,DNP
PGA Championship,6,Sam Horsfield,86,86,101,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Brandon Stone,87,85,199,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,J.T. Poston,88,84,72,Zurich Classic of New Orleans,DNP,Valspar Championship,T54,Wells Fargo Championship,T26,AT&T Byron Nelson,DNP
PGA Championship,6,Dean Burmester,89,93,182,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Aaron Rai,90,89,77,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Danny Willett,91,92,67,Zurich Classic of New Orleans,T8,Valspar Championship,CUT,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Branden Grace,92,91,126,Zurich Classic of New Orleans,CUT,Valspar Championship,T54,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Martin Kaymer,93,87,79,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Thomas Pieters,94,88,84,Zurich Classic of New Orleans,T8,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,CUT
PGA Championship,6,Cameron Champ,95,89,71,Zurich Classic of New Orleans,T17,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,T55
PGA Championship,6,George Coetzee,96,98,92,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Lucas Herbert,97,94,70,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,CUT,AT&T Byron Nelson,DNP
PGA Championship,6,Thomas Detry,98,96,83,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Alex Noren,99,102,94,Zurich Classic of New Orleans,T21,Valspar Championship,T21,Wells Fargo Championship,DNP,AT&T Byron Nelson,T21
PGA Championship,6,Sami Valimaki,100,99,69,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Martin Laird,101,95,85,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,DNP,AT&T Byron Nelson,T61
PGA Championship,6,Rasmus Hojgaard,102,101,87,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Maverick McNealy,104,105,166,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,CUT,AT&T Byron Nelson,DNP
PGA Championship,6,Kurt Kitayama,106,103,133,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Adam Hadwin,107,104,78,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,CUT,AT&T Byron Nelson,DNP
PGA Championship,6,Charl Schwartzel,109,157,206,Zurich Classic of New Orleans,2,Valspar Championship,T21,Wells Fargo Championship,T14,AT&T Byron Nelson,T3
PGA Championship,6,Jazz Janewattananond,111,114,88,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Kalle Samooja,112,109,162,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Tom Hoge,113,108,106,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,CUT,AT&T Byron Nelson,CUT
PGA Championship,6,Richy Werenski,114,110,150,Zurich Classic of New Orleans,3,Valspar Championship,CUT,Wells Fargo Championship,T37,AT&T Byron Nelson,DNP
PGA Championship,6,Phil Mickelson,115,116,66,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,69,AT&T Byron Nelson,DNP
PGA Championship,6,Tom Lewis,116,112,73,Zurich Classic of New Orleans,T8,Valspar Championship,T48,Wells Fargo Championship,CUT,AT&T Byron Nelson,CUT
PGA Championship,6,Chez Reavie,117,111,56,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,CUT,AT&T Byron Nelson,DNP
PGA Championship,6,Jason Scrivener,118,115,219,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Byeong Hun An,119,117,75,Zurich Classic of New Orleans,CUT,Valspar Championship,67,Wells Fargo Championship,CUT,AT&T Byron Nelson,DNP
PGA Championship,6,Zach Johnson,121,120,97,Zurich Classic of New Orleans,DNP,Valspar Championship,T29,Wells Fargo Championship,T51,AT&T Byron Nelson,DNP
PGA Championship,6,Robert Streb,125,123,115,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,CUT,AT&T Byron Nelson,DNP
PGA Championship,6,Cameron Davis,127,125,229,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,T26,AT&T Byron Nelson,DNP
PGA Championship,6,Rickie Fowler,128,122,53,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,CUT,AT&T Byron Nelson,CUT
PGA Championship,6,Henrik Stenson,130,129,65,Zurich Classic of New Orleans,T11,Valspar Championship,T63,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Aaron Wise,136,130,125,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,T9,AT&T Byron Nelson,T55
PGA Championship,6,Jim Herman,143,140,96,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Francesco Molinari,144,133,112,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,CUT,AT&T Byron Nelson,DNP
PGA Championship,6,Wyndham Clark,150,149,147,Zurich Classic of New Orleans,T17,Valspar Championship,T60,Wells Fargo Championship,T43,AT&T Byron Nelson,T39
PGA Championship,6,Harry Higgs,154,148,121,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,CUT,AT&T Byron Nelson,CUT
PGA Championship,6,Denny McCarthy,163,158,200,Zurich Classic of New Orleans,DNP,Valspar Championship,T39,Wells Fargo Championship,CUT,AT&T Byron Nelson,DNP
PGA Championship,6,Peter Malnati,174,165,168,Zurich Classic of New Orleans,31,Valspar Championship,CUT,Wells Fargo Championship,T43,AT&T Byron Nelson,DNP
PGA Championship,6,Hudson Swafford,194,189,194,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,DNP,AT&T Byron Nelson,CUT
PGA Championship,6,Brian Gay,232,224,202,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Steve Stricker,240,233,469,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Padraig Harrington,257,253,304,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,CUT
PGA Championship,6,Jason Dufner,409,401,351,Zurich Classic of New Orleans,CUT,Valspar Championship,T57,Wells Fargo Championship,T43,AT&T Byron Nelson,DNP
PGA Championship,6,Jimmy Walker,528,510,421,Zurich Classic of New Orleans,DNP,Valspar Championship,T29,Wells Fargo Championship,T72,AT&T Byron Nelson,CUT
PGA Championship,6,Y.E. Yang,672,661,568,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Ben Cook,1174,1180,1894,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Rich Beem,1770,1765,1709,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Rob Labritz,1770,1765,1709,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Daniel Balin,1857,1855,1894,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Alex Beach,1857,1855,1894,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Tyler Collet,1857,1855,9999,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,John Daly,1857,1855,1894,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Shaun Micheel,1857,1855,1894,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Ben Polland,1857,1855,1811,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Stuart L. Smith,1857,1855,1894,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Omar Uresti,1857,1855,1894,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Pete Ballo,9999,9999,9999,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,"Frank Bensel, Jr.",9999,9999,9999,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Mark Geddes,9999,9999,9999,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Larkin Gross,9999,9999,9999,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Derek Holmes,9999,9999,9999,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Greg Koch,9999,9999,9999,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Brad Marek,9999,9999,9999,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Tim Pearce,9999,9999,9999,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Patrick Rada,9999,9999,9999,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Sonny Skinner,9999,9999,9999,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Joe Summerhays,9999,9999,9999,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,6,Brett Walker,9999,9999,9999,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
AT&T Byron Nelson,1,Jon Rahm,3,3,2,RBC Heritage,DNP,Zurich Classic of New Orleans,7,Valspar Championship,DNP,Wells Fargo Championship,CUT
AT&T Byron Nelson,1,Bryson DeChambeau,4,5,5,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,T9
AT&T Byron Nelson,1,Brooks Koepka,12,10,12,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,1,Hideki Matsuyama,15,14,20,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,1,Daniel Berger,16,16,13,RBC Heritage,T13,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,1,Matt Fitzpatrick,17,17,16,RBC Heritage,T4,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,1,Scottie Scheffler,22,21,31,RBC Heritage,DNP,Zurich Classic of New Orleans,T8,Valspar Championship,T29,Wells Fargo Championship,DNP
AT&T Byron Nelson,1,Lee Westwood,23,22,36,RBC Heritage,63,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,1,Harris English,24,23,28,RBC Heritage,CUT,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,T43
AT&T Byron Nelson,1,Jordan Spieth,28,31,82,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,2,Will Zalatoris,30,28,59,RBC Heritage,T42,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,CUT
AT&T Byron Nelson,2,Ryan Palmer,31,29,30,RBC Heritage,DNP,Zurich Classic of New Orleans,7,Valspar Championship,T63,Wells Fargo Championship,DNP
AT&T Byron Nelson,2,Marc Leishman,38,38,29,RBC Heritage,DNP,Zurich Classic of New Orleans,1,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,2,Sam Burns,44,44,154,RBC Heritage,T39,Zurich Classic of New Orleans,T4,Valspar Championship,1,Wells Fargo Championship,DNP
AT&T Byron Nelson,2,Sergio Garcia,46,47,46,RBC Heritage,CUT,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,2,Matt Kuchar,49,49,37,RBC Heritage,T18,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,2,Si Woo Kim,50,50,95,RBC Heritage,T33,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,2,Carlos Ortiz,54,51,61,RBC Heritage,CUT,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,T65
AT&T Byron Nelson,2,Jason Day,62,59,43,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,CUT
AT&T Byron Nelson,2,Sebastián Muñoz,68,67,60,RBC Heritage,CUT,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,CUT
AT&T Byron Nelson,3,Antoine Rozner,70,70,120,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,3,Talor Gooch,73,73,81,RBC Heritage,DNP,Zurich Classic of New Orleans,T17,Valspar Championship,CUT,Wells Fargo Championship,T26
AT&T Byron Nelson,3,Erik van Rooyen,75,72,51,RBC Heritage,DNP,Zurich Classic of New Orleans,T17,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,3,John Catlin,78,76,99,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,3,Thomas Pieters,88,88,84,RBC Heritage,DNP,Zurich Classic of New Orleans,T8,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,3,Cameron Champ,89,92,71,RBC Heritage,DNP,Zurich Classic of New Orleans,T17,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,3,Martin Laird,95,96,85,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,DNP
AT&T Byron Nelson,3,Alex Noren,102,101,94,RBC Heritage,T25,Zurich Classic of New Orleans,T21,Valspar Championship,T21,Wells Fargo Championship,DNP
AT&T Byron Nelson,3,Tom Hoge,108,108,106,RBC Heritage,T25,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,3,Tom Lewis,112,110,73,RBC Heritage,T25,Zurich Classic of New Orleans,T8,Valspar Championship,T48,Wells Fargo Championship,CUT
AT&T Byron Nelson,4,Rickie Fowler,122,116,53,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,CUT
AT&T Byron Nelson,4,Brandt Snedeker,127,125,98,RBC Heritage,T42,Zurich Classic of New Orleans,T4,Valspar Championship,T11,Wells Fargo Championship,DNP
AT&T Byron Nelson,4,Charles Howell III,128,126,111,RBC Heritage,T18,Zurich Classic of New Orleans,DNP,Valspar Championship,T39,Wells Fargo Championship,DNP
AT&T Byron Nelson,4,Aaron Wise,130,154,125,RBC Heritage,CUT,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,T9
AT&T Byron Nelson,4,Rafa Cabrera Bello,131,129,102,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,4,K.H. Lee,137,136,272,RBC Heritage,T56,Zurich Classic of New Orleans,T23,Valspar Championship,T29,Wells Fargo Championship,T58
AT&T Byron Nelson,4,Andrew Landry,138,133,105,RBC Heritage,T33,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,DNP
AT&T Byron Nelson,4,Andrew Putnam,142,142,198,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,T43
AT&T Byron Nelson,4,Rory Sabbatini,143,134,117,RBC Heritage,51,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,4,Luke List,145,175,176,RBC Heritage,58,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,T6
AT&T Byron Nelson,5,Harry Higgs,148,140,121,RBC Heritage,T59,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,CUT
AT&T Byron Nelson,5,Wyndham Clark,149,149,147,RBC Heritage,64,Zurich Classic of New Orleans,T17,Valspar Championship,T60,Wells Fargo Championship,T43
AT&T Byron Nelson,5,Nate Lashley,152,147,119,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,CUT
AT&T Byron Nelson,5,James Hahn,153,148,248,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,5,Sepp Straka,154,152,142,RBC Heritage,T59,Zurich Classic of New Orleans,T29,Valspar Championship,DNP,Wells Fargo Championship,T54
AT&T Byron Nelson,5,Keith Mitchell,156,249,184,RBC Heritage,DNP,Zurich Classic of New Orleans,T4,Valspar Championship,69,Wells Fargo Championship,T3
AT&T Byron Nelson,5,Charl Schwartzel,157,177,206,RBC Heritage,DNP,Zurich Classic of New Orleans,2,Valspar Championship,T21,Wells Fargo Championship,T14
AT&T Byron Nelson,5,C.T. Pan,162,164,145,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,T18
AT&T Byron Nelson,5,Doc Redman,168,162,89,RBC Heritage,CUT,Zurich Classic of New Orleans,T17,Valspar Championship,T39,Wells Fargo Championship,CUT
AT&T Byron Nelson,5,Troy Merritt,169,159,151,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,T8,Wells Fargo Championship,CUT
