
T56,41,,Carlos Ortiz (NT),-9,F*,-6,71,70,66,--,207,19,16,3,
T56,17,,Jhonattan Vegas (LQ),-9,F*,-2,68,69,70,--,207,158,155,3,
T56,30,,Ryan Brehm (NT),-9,F,-1,69,67,71,--,207,183,188,5,
T56,12,,Sam Ryder (NT),-9,F,-4,69,70,68,--,207,99,91,8,
T56,17,,Brian Stuard (LQ),-9,F,-2,67,70,70,--,207,40,38,2,
T56,28,,Mark Hubbard (LQ),-9,F*,-5,69,71,67,--,207,25,22,3,
T56,1,,Jason Dufner (NT),-9,F,-3,67,71,69,--,207,215,224,9,
T56,12,,Troy Merritt (NT),-9,F*,-4,71,68,68,--,207,151,148,3,
T56,28,,Rory Sabbatini (LQ),-9,F,-5,70,70,67,--,207,111,103,8,
T56,1,,D.J. Trahan (NT),-9,F,-3,69,69,69,--,207,79,67,12,
T56,1,,Tyler McCumber (NT),-9,F*,-3,67,71,69,--,207,167,168,1,
,,,,,,,,,,,,,,,
CUT,--,,Cameron Percy,-8,--,--,74,66,68,--,208,80,66,14,
CUT,--,,Lucas Glover,-8,--,--,67,76,65,--,208,106,95,11,
CUT,--,,Chez Reavie,-8,--,--,71,70,67,--,208,119,110,9,
CUT,--,,Jimmy Walker,-8,--,--,71,68,69,--,208,T213,T213,--,
CUT,--,,Kevin Streelman,-8,--,--,67,70,71,--,208,65,57,8,
CUT,--,,Ben Taylor,-8,--,--,71,70,67,--,208,171,167,4,
CUT,--,,Michael Gellerman,-8,--,--,71,71,66,--,208,178,173,5,
CUT,--,,Nick Taylor,-7,--,--,67,68,74,--,209,70,61,9,
CUT,--,,Kyle Stanley,-7,--,--,70,68,71,--,209,T142,T136,6,
CUT,--,,Wyndham Clark,-7,--,--,71,68,70,--,209,130,121,9,
CUT,--,,Harold Varner III,-7,--,--,69,72,68,--,209,77,65,12,
CUT,--,,Roger Sloan,-7,--,--,66,71,72,--,209,152,145,7,
CUT,--,,Bo Van Pelt,-7,--,--,72,67,70,--,209,226,226,--,
CUT,--,,Kristoffer Ventura,-7,--,--,73,69,67,--,209,166,162,4,
CUT,--,,Isaiah Salinda,-7,--,--,67,70,72,--,209,--,--,--,
CUT,--,,Chris Baker,-7,--,--,71,69,69,--,209,173,170,3,
CUT,--,,Russell Henley,-7,--,--,68,70,71,--,209,T180,177,3,
CUT,--,,Zack Sucher,-7,--,--,72,68,69,--,209,T137,T130,7,
CUT,--,,Harry Higgs,-7,--,--,74,72,63,--,209,43,39,4,
CUT,--,,Mackenzie Hughes,-6,--,--,71,69,70,--,210,T211,T210,1,
CUT,--,,Steve Stricker,-6,--,--,69,73,68,--,210,T236,T236,--,
CUT,--,,Luke List,-6,--,--,70,72,68,--,210,126,116,10,
CUT,--,,Martin Laird,-6,--,--,69,72,69,--,210,184,180,4,
CUT,--,,Chris Stroud,-6,--,--,70,70,70,--,210,156,150,6,
CUT,--,,Aaron Wise,-6,--,--,70,67,73,--,210,125,114,11,
