
T63,1,,Chris Baker,2,F*,E,72,70,--,--,142,169,164,5,
T63,40,,Rico Hoey,2,F,-2,74,68,--,--,142,--,--,--,
T63,1,,Vince Covello,2,F*,E,72,70,--,--,142,209,213,4,
T63,1,,Brandon Hagy,2,17*,E,72,--,--,--,72,T197,T198,1,
T63,1,,Carlos Ortiz,2,17,E,72,--,--,--,72,16,14,2,
T63,40,,Parker McLachlin,2,16*,-2,74,--,--,--,74,221,231,10,
T63,13,,Lanto Griffin,2,14,1,71,--,--,--,71,4,4,--,
T63,1,,Martin Trainer,2,14*,E,72,--,--,--,72,191,T189,2,
T63,32,,Jerry Kelly,2,12*,2,70,--,--,--,70,233,T233,--,
T63,1,,Brian Gay,2,12,E,72,--,--,--,72,43,38,5,
T63,26,,Ben Taylor,2,9,-1,73,--,--,--,73,164,161,3,
,,,,,,,,,,,,,,,
T81,22,,Roger Sloan,3,F,-1,74,69,--,--,143,146,138,8,
T81,17,,Jamie Lovemark,3,F*,1,72,71,--,--,143,T212,T209,3,
T81,31,,Charley Hoffman,3,F*,2,71,72,--,--,143,158,149,9,
T81,8,,Brice Garnett,3,F,E,73,70,--,--,143,89,79,10,
T81,17,,Justin Thomas,3,F*,1,72,71,--,--,143,1,1,--,
T81,17,,Adam Schenk,3,17,1,72,--,--,--,72,107,96,11,
T81,17,,Bud Cauley,3,16*,1,72,--,--,--,72,80,70,10,
T81,17,,Sebastián Muñoz,3,15,1,72,--,--,--,72,3,3,--,
T81,17,,Adam Long,3,13*,1,72,--,--,--,72,24,21,3,
T81,17,,Kevin Tway,3,13,1,72,--,--,--,72,160,152,8,
T81,8,,Mikumu Horikawa,3,10,E,73,--,--,--,73,--,--,--,
T92,11,,Scott Brown,4,F,E,74,70,--,--,144,113,104,9,
T92,42,,Jason Dufner,4,F,3,71,73,--,--,144,224,220,4,
T92,76,,James Hahn,4,F,5,69,75,--,--,144,172,165,7,
T92,43,,Chesson Hadley,4,F,-3,77,67,--,--,144,125,118,7,
T92,28,,Graham DeLaet,4,17*,2,72,--,--,--,72,T216,T214,2,
T92,32,,Troy Merritt,4,15*,-1,75,--,--,--,75,151,143,8,
T92,11,,Dylan Frittelli,4,14*,E,74,--,--,--,74,33,27,6,
T92,76,,Patrick Reed,4,14,5,69,--,--,--,69,26,24,2,
T92,28,,J.T. Poston,4,14*,2,72,--,--,--,72,44,39,5,
T92,28,,Ryan Armour,4,13,2,72,--,--,--,72,83,71,12,
T92,42,,Vijay Singh,4,13*,3,71,--,--,--,71,T236,T233,3,
T92,11,,Mackenzie Hughes,4,12,E,74,--,--,--,74,T212,T209,3,
T92,28,,David Hearn,4,12,2,72,--,--,--,72,85,73,12,
T92,3,,Xinjun Zhang,4,10*,1,73,--,--,--,73,42,37,5,
T106,3,,Tyler Duncan,5,F,1,74,71,--,--,145,11,11,--,
T106,17,,Keith Mitchell,5,F*,2,73,72,--,--,145,95,84,11,
T106,21,,Russell Henley,5,F,-1,76,69,--,--,145,179,173,6,
T106,17,,Cameron Percy,5,F*,2,73,72,--,--,145,71,58,13,
T106,17,,Chez Reavie,5,13*,2,73,--,--,--,73,109,99,10,
T106,21,,Kyoung-Hoon Lee,5,13*,-1,76,--,--,--,76,92,80,12,
T106,3,,Hank Lebioda,5,11*,1,74,--,--,--,74,86,75,11,
T106,3,,Toru Nakajima,5,10*,1,74,--,--,--,74,--,--,--,
T106,3,,Tyler McCumber,5,9,1,74,--,--,--,74,170,162,8,
T115,20,,Doc Redman,6,F,-1,77,69,--,--,146,73,62,11,
T115,12,,Ryuko Tokimatsu,6,F*,2,74,72,--,--,146,--,--,--,
T115,51,,Sam Burns,6,16,4,72,--,--,--,72,T212,T209,3,
T115,84,,Patton Kizzire,6,15,6,70,--,--,--,70,199,194,5,
T115,12,,Kazuki Higa,6,11,2,74,--,--,--,74,--,--,--,
T115,12,,Will Gordon,6,10*,2,74,--,--,--,74,--,--,--,
T115,26,,Doug Ghim,6,10*,3,73,--,--,--,73,186,181,5,
T122,5,,Colt Knost,7,F*,1,76,71,--,--,147,T236,T233,3,
T122,19,,Tyler Ota (a),7,F,3,74,73,--,--,147,--,--,--,
T122,19,,Jared Sawada,7,F*,3,74,73,--,--,147,--,--,--,
T122,72,,Jim Herman,7,13*,6,71,--,--,--,71,162,153,9,
T122,19,,J.J. Spaun,7,12,3,74,--,--,--,74,183,178,5,
T122,20,,Vincent Whaley,7,11*,-4,81,--,--,--,81,207,205,2,
T122,5,,Tomoyo Ikemura,7,11*,1,76,--,--,--,76,--,--,--,
T129,2,,Luke List,8,F*,2,76,72,--,--,148,114,107,7,
T129,2,,Robby Shelton,8,F,2,76,72,--,--,148,49,41,8,
T129,9,,Rafael Campos,8,10,E,78,--,--,--,78,155,146,9,
T132,82,,Eric Dugas,9,F*,8,71,78,--,--,149,--,--,--,
T132,6,,Shugo Imahira,9,17*,1,78,--,--,--,78,--,--,--,
T132,8,,Robert Streb,9,13*,4,75,--,--,--,75,87,76,11,
T135,32,,Kristoffer Ventura,10,11,6,74,--,--,--,74,165,157,8,
T135,8,,Michael Gligic,10,11,4,76,--,--,--,76,176,170,6,
T137,5,,Alex Beach,11,F,E,81,70,--,--,151,--,--,--,
T137,1,,Smylie Kaufman,11,12,3,78,--,--,--,78,T236,T233,3,
T139,12,,Bo Van Pelt,12,17,6,76,--,--,--,76,226,222,4,
T139,36,,Fabián Gómez,12,16*,8,74,--,--,--,74,76,65,11,
141,3,,Mark Hubbard,13,12*,5,78,--,--,--,78,23,20,3,
T142,7,,Andrew Landry,14,13*,7,77,--,--,--,77,180,174,6,
T142,--,,Ryan Brehm,14,11*,3,81,--,--,--,81,189,185,4,
WD,--,,Matt Every,E,--,--,73,--,--,--,73,150,142,8,
