RANK,CHANGE,COUNTRY,PLAYER,AVERAGE POINTS,TOTAL POINTS,EVENTS PLAYED
98,-2,USA,CHEYENNE KNIGHT,1.31,74.87,57
99,-1,ENG,BRONTE LAW,1.31,69.5,53
100,-1,GER,ESTHER HENSELEIT,1.28,56.2,44
101,—,KOR,CHELLA CHOI,1.27,66.15,52
102,2,AUS,SU-HYUN OH,1.26,70.5,56
103,—,ITA,GIULIA MOLINARO,1.26,50.32,40
104,-2,FRA,PERRINE DELACOUR,1.25,57.49,46
105,-5,KOR,I.K. KIM,1.25,43.74,31
106,-1,JPN,MOMOKO OSATO,1.24,90.43,73
107,-1,USA,SARAH SCHMELZEL,1.23,65.3,53
108,1,USA,MORGAN PRESSEL,1.23,54.21,44
109,-2,AUS,KATHERINE KIRK,1.22,68.19,56
110,-2,DEN,NICOLE BROCH LARSEN,1.21,60.51,50
111,—,JPN,ERIKA KIKUCHI,1.2,80.43,67
112,-2,USA,KRISTEN GILLMAN,1.2,66.02,55
113,2,THA,PAJAREE ANANNARUKARN,1.18,53.23,45
114,-2,JPN,YUI KAWAMOTO,1.16,77.73,67
115,-2,KOR,JUNG MIN LEE,1.16,65.95,57
116,-2,KOR,GA YOUNG LEE,1.16,67.07,58
117,—,JPN,MAMIKO HIGA,1.14,80.94,71
118,-2,KOR,SONG YI AHN,1.14,63.8,56
119,-1,USA,CYDNEY CLANTON,1.13,56.59,50
120,—,KOR,MI JEONG JEON,1.1,70.55,64
121,-2,USA,ALISON LEE,1.1,43.95,40
122,-1,AUS,STEPHANIE KYRIACOU,1.08,37.65,22
123,-1,KOR,CHAE YOON PARK,1.05,60.67,58
124,-1,JPN,RITSUKO RYU,1.03,67.27,65
125,—,AUS,GABRIELA RUFFELS,1.03,36.17,19
126,-2,USA,CRISTIE KERR,1.03,49.33,48
127,-1,USA,RYANN O'TOOLE,1.02,48.88,48
128,4,KOR,YUN JI JEONG,1.01,35.44,31
129,-1,USA,ELIZABETH SZOKOL,0.99,44.7,45
130,—,JPN,LALA ANAI,0.99,72.01,73
131,-2,USA,CHRISTINA KIM,0.98,47.01,48
132,6,JPN,YURI YOSHIDA,0.97,40.87,42
133,-2,KOR,HEE YOUNG PARK,0.97,42.48,44
134,—,USA,GERINA PILLER,0.96,48.11,50
135,-2,NIR,STEPHANIE MEADOW,0.96,46.1,48
136,5,KOR,JI YOUNG PARK,0.96,55.63,58
137,3,KOR,JU YOUNG PAK,0.96,55.47,58
138,150,KOR,YE SUNG JUN,0.95,33.41,31
139,-2,TPE,MIN LEE,0.95,38.99,41
140,-4,USA,ANNIE PARK,0.94,48.95,52
141,-6,KOR,JI HYUN KIM,0.94,55.21,59
142,34,KOR,DA BEEN HEO,0.93,53.04,57
143,-4,USA,ANDREA LEE,0.93,32.46,27
144,4,JPN,AYAKA WATANABE,0.92,57.74,63
145,-1,KOR,YE RIM CHOI,0.92,54.06,59
146,-4,USA,LINDSEY WEAVER,0.91,41.95,46
147,-1,USA,JENNY COLEMAN,0.9,48.76,54
148,-3,NED,ANNE VAN DAM,0.89,48.31,54
149,1,CAN,ALENA SHARP,0.89,48.11,54
150,-7,KOR,SUN JU AHN,0.88,31.77,36
151,-4,KOR,JI HYUN OH,0.88,47.58,54
152,-1,KOR,HAE RYM KIM,0.88,49.88,57
153,—,JPN,KANA MIKASHIMA,0.87,58.41,67
154,-5,KOR,YU JIN SUNG,0.87,43.52,50
155,14,KOR,SO YI KIM,0.87,50.2,58
156,-4,TPE,TERESA LU,0.86,56.72,66
157,-1,SWE,PERNILLA LINDBERG,0.84,44.27,53
158,-4,KOR,MIN SUN5 KIM,0.83,47.13,57
159,-2,CHN,JING YAN,0.83,47.13,57
160,-2,KOR,JULIE KIM,0.82,28.82,35
161,14,TPE,PEI-YING TSAI,0.82,55.46,68
162,-7,KOR,JIN SEON HAN,0.81,49.69,61
163,7,JPN,SUMIKA NAKASONE,0.81,41.52,51
