Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
240a2936-4782-46ac-84fd-e0970fa06e0a,2019-07-28 10:59:38,Strength Training,,0.00,1:08:40,,,591.0,0,,"","",
60e4d017-cb61-41f9-95a7-8c3230ac370c,2019-07-27 13:56:06,Running,,5.01,25:22,5:04,11.85,378.0,62,159,"","",2019-07-27-135606.gpx
f21f5702-0b59-4491-ba99-c71f9e87af69,2019-07-13 09:14:33,Running,,8.04,46:35,5:48,10.35,602.0,6,154,"","",2019-07-13-091433.gpx
87684640-8856-47db-b595-0e6790a518e3,2019-07-11 05:23:20,Running,,5.01,28:31,5:41,10.55,236.0,25,118,"","",2019-07-11-052320.gpx
01d7ac4a-e8bd-49c2-8b2f-217819fcd69a,2019-07-10 05:35:06,Running,,5.00,25:58,5:12,11.56,272.0,13,137,"","",2019-07-10-053506.gpx
bd0aa3af-95c3-4eb6-9c1d-9e13f5a6ca14,2019-07-06 12:32:53,Running,,8.01,46:19,5:47,10.38,644.0,129,164,"","",2019-07-06-123253.gpx
b17c93bb-d0bb-4e0e-8c6d-4e2dee20409c,2019-06-29 15:06:45,Running,,8.02,45:58,5:44,10.47,596.0,121,151,"","",2019-06-29-150645.gpx
cd07a556-6f95-4762-8d17-9ff5e41c2351,2019-06-09 12:19:29,Running,,8.01,44:34,5:34,10.79,549.0,109,144,"","",2019-06-09-121929.gpx
913a855b-6412-4cfe-838f-d38353562364,2019-06-02 16:04:01,Running,,8.01,44:22,5:32,10.83,538.0,106,144,"","",2019-06-02-160401.gpx
0134abdd-d849-4506-8a74-6a618ad1355f,2019-06-01 14:08:28,Running,,8.01,44:27,5:33,10.81,439.0,107,130,"","",2019-06-01-140828.gpx
bcd57005-a59a-4005-bb39-de08e56bedb7,2019-05-27 05:34:48,Running,,5.01,29:10,5:50,10.30,424.0,65,165,"","",2019-05-27-053448.gpx
4a33bc32-1a61-4319-b4a8-0e1f48bb33e9,2019-05-25 08:05:47,Strength Training,,0.00,1:18:49,,,640.0,0,,"","",
8b604c6c-c405-4d62-86d9-678d19cfb38b,2019-05-23 14:53:19,Running,,5.01,28:06,5:36,10.70,340.0,64,149,"","",2019-05-23-145319.gpx
c9049f73-1093-4c44-96e0-4a47d8ccfbaf,2019-05-20 14:07:58,Running,,6.41,35:46,5:35,10.76,455.0,1,153,"","",2019-05-20-140758.gpx
5622f518-5819-4585-bcbf-bf4236e4ce57,2019-05-17 13:50:14,Other,,13.46,4:13:42,18:51,3.18,744.0,87,,"","",2019-05-17-135014.gpx
59640890-1a16-4db4-b80b-59ce38a54b84,2019-05-17 10:54:59,Other,,6.43,2:04:18,19:20,3.10,340.0,51,,"","",2019-05-17-105459.gpx
f5e85608-c4b5-4843-ba3d-3911f03f7cb1,2019-05-17 08:21:58,Other,,6.67,2:21:09,21:10,2.83,352.0,42,,"","",2019-05-17-082158.gpx
01d5c9b5-4762-4337-9275-5b5190385189,2019-05-16 06:57:31,Other,,0.01,0:00,0:00,24948.00,0.0,0,,"","",2019-05-16-065731.gpx
2939e8c3-2ea7-4fee-8c56-eccfbb8d6855,2019-05-15 17:05:01,Other,,1.30,25:14,19:21,3.10,61.0,8,,"","",2019-05-15-170501.gpx
7fc5b374-8c79-49ee-80c2-32fd3ae1b013,2019-05-15 06:34:32,Running,,8.25,47:02,5:42,10.52,787.0,62,180,"","",2019-05-15-063432.gpx
b0dcd616-5685-460b-ab6b-ddc1860dca4d,2019-05-11 16:16:39,Running,,11.22,59:14,5:17,11.36,848.0,9,149,"","",2019-05-11-161639.gpx
ba6db3ee-6751-422d-8e05-6566421047f7,2019-04-21 08:33:04,Running,,42.65,4:34:10,6:26,9.33,3049.0,349,137,"","",2019-04-21-083304.gpx
a5f328ef-f2c1-460f-b648-fd1fd7609582,2019-04-17 14:30:04,Running,,6.41,35:16,5:30,10.90,485.0,73,134,"","",2019-04-17-143004.gpx
fb8ba491-2c6a-439e-9b77-56bdf76e5771,2019-04-16 13:52:15,Running,,5.02,27:35,5:29,10.93,383.0,69,158,"","",2019-04-16-135215.gpx
f403e309-9e65-4fbc-87ee-bfb91865812e,2019-04-14 13:06:38,Running,,13.01,1:15:00,5:46,10.41,987.0,157,128,"","",2019-04-14-130638.gpx
fe8b0788-0a6d-404b-bee9-603313188ab8,2019-04-13 15:23:59,Running,,5.00,27:23,5:29,10.96,378.0,60,133,"","",2019-04-13-152359.gpx
0f0ba36b-3c41-4b37-8249-632da0f2c33a,2019-04-11 15:41:05,Running,,8.04,43:20,5:23,11.14,613.0,109,129,"","",2019-04-11-154105.gpx
7e8e797f-bc1f-474d-b3f1-04c27b3a7ba5,2019-04-09 17:07:03,Running,,6.48,36:28,5:38,10.66,488.0,70,147,"","",2019-04-09-170703.gpx
4d03b34f-ce9e-4a83-8145-87bdb36bc56c,2019-04-07 13:28:08,Other,,4.71,2:23:02,30:21,1.98,390.0,77,,"","",2019-04-07-132808.gpx
49b776c8-ab50-4491-82a0-d3372566f0f1,2019-04-07 09:52:38,Other,,5.81,2:24:55,24:56,2.41,455.0,82,,"","",2019-04-07-095238.gpx
abe98352-a593-4910-b0fd-f1eaf59ae569,2019-04-06 13:08:37,Running,,19.21,1:53:45,5:55,10.13,1463.0,242,123,"","",2019-04-06-130837.gpx
b37a60e2-4fe6-4b75-b045-8a86b81496dd,2019-04-05 15:11:57,Running,,6.41,35:02,5:28,10.97,482.0,74,145,"","",2019-04-05-151157.gpx
2f697545-f272-41ff-8d25-2299fb2897f7,2019-04-04 15:47:32,Running,,8.07,43:30,5:24,11.13,620.0,119,137,"","",2019-04-04-154732.gpx
b80b2e72-f970-44c0-a395-fe8cc4e7b779,2019-04-03 14:16:07,Running,,10.04,53:05,5:17,11.35,800.0,228,142,"","",2019-04-03-141607.gpx
36bda740-4a3c-4186-aca2-ea9bdaca6e5c,2019-04-02 13:19:28,Running,,8.02,43:06,5:22,11.17,616.0,116,128,"","",2019-04-02-131928.gpx
