RANK,CHANGE,COUNTRY,PLAYER,AVERAGE POINTS,TOTAL POINTS,EVENTS PLAYED,
99,-3,JPN,ERIKA HARA,1.15,64.66,56,☆
100,-3,KOR,IN GEE CHUN,1.13,44.21,39,☆
101,2,KOR,GA YOUNG LEE,1.12,68.53,61,☆
102,-1,JPN,MINAMI HIRUTA,1.12,77.47,69,☆
103,-3,USA,ALEXA PANO,1.12,54.75,49,☆
104,-5,JPN,SORA KAMIYA,1.11,65.46,59,☆
105,1,JPN,SAYAKA TAKAHASHI,1.1,81.46,74,☆
106,-2,SWE,LINNEA STROM,1.08,63.74,59,☆
107,-2,USA,DANIELLE KANG,1.08,46.27,43,☆
108,7,JPN,SERENA AOKI,1.07,80.27,75,☆
109,-2,USA,BAILEY TARDY,1.06,46.82,44,☆
110,1,USA,MARINA ALEX,1.05,48.51,46,☆
111,1,DEN,NANNA KOERSTZ MADSEN,1.04,55,53,☆
112,-4,AUS,HIRA NAVEED,1.03,41.34,40,☆
113,—,THA,WICHANEE MEECHAI,1.03,49.6,48,☆
114,-5,NED,ANNE VAN DAM,1.02,43.97,43,☆
115,1,KOR,JAEHEE KIM,1.02,63.36,62,☆
116,-2,JPN,MONE INAMI,1.02,65.27,64,☆
117,1,KOR,SOHYUN BAE,1.02,59.89,59,☆
118,-1,PHI,BIANCA PAGDANGANAN,1,42.06,42,☆
119,1,JPN,YURI YOSHIDA,0.99,63.55,64,☆
120,-1,ESP,AZAHARA MUNOZ,0.99,38.59,39,☆
121,—,SWE,JOHANNA GUSTAVSSON,0.99,45.43,46,☆
122,3,CHN,HARUKA MORITA,0.98,58.54,60,☆
123,-1,GER,OLIVIA COWAN,0.96,43.22,45,☆
124,2,KOR,JIU KO,0.96,60.49,63,☆
125,2,ENG,BRONTE LAW,0.96,43.12,45,☆
126,12,JPN,SAIKI FUJITA,0.95,63.67,67,☆
127,-4,DEN,NICOLE BROCH ESTRUP,0.95,42.57,45,☆
128,3,SWE,FRIDA KINHULT,0.95,38.75,41,☆
129,-1,JPN,HARUKA AMAMOTO,0.94,65.85,70,☆
130,-6,USA,LAUREN HARTLAGE,0.94,39.38,42,☆
131,4,THA,VONGTAVEELAP NATTHAKRITTA,0.94,32.74,20,☆
132,1,USA,LUCY LI,0.93,39.25,42,☆
133,-4,JPN,ERIKA KIKUCHI,0.93,64.37,69,☆
134,-4,JPN,FUMIKA KAWAGISHI,0.93,65.92,71,☆
135,4,KOR,JUNG MIN LEE,0.92,51.49,56,☆
136,-2,SUI,MORGANE METRAUX,0.92,45.9,50,☆
137,-1,JPN,AMIYU OZEKI,0.92,65.95,72,☆
138,-6,THA,MORIYA JUTANUGARN,0.91,46.65,51,☆
139,1,KOR,DA SOM MA,0.91,53.89,59,☆
140,1,JPN,LALA ANAI,0.91,66.45,73,☆
141,1,KOR,SO YOUNG LEE,0.9,50.22,56,☆
142,-5,JPN,NANA SUGANUMA,0.89,59.65,67,☆
143,—,KOR,MINYOUNG2 LEE,0.88,55.15,63,☆
144,10,AUS,SARAH KEMP,0.87,44.62,51,☆
145,—,KOR,SEON WOO BAE,0.87,56.79,65,☆
146,-2,KOR,JUNGMIN HONG,0.87,50.67,58,☆
147,2,USA,YEALIMI NOH,0.87,36.53,42,☆
148,—,CHN,YU LIU,0.87,44.12,51,☆
149,-3,SUI,CHIARA TAMBURLINI,0.86,30.26,27,☆
150,-3,NIR,STEPHANIE MEADOW,0.86,41.28,48,☆
151,-1,KOR,JINSEON HAN,0.86,48.78,57,☆
152,-1,KOR,EUNWOO CHOI,0.85,50.27,59,☆
153,2,JPN,YUI KAWAMOTO,0.85,61.16,72,☆
154,-1,KOR,MIN SUN7 KIM,0.83,42.14,51,☆
155,-3,JPN,MOMOKO UEDA,0.82,50.28,61,☆
156,—,KOR,JEONG EUN LEE6,0.82,40.95,50,☆
157,—,JPN,YUKA YASUDA,0.82,54.71,67,☆
158,—,BEL,MANON DE ROEY,0.81,38.89,48,☆
159,1,KOR,MINKYUNG CHOI,0.81,45.92,57,☆
160,-1,KOR,HANA LEE,0.79,57.5,73,☆
161,1,RSA,PAULA RETO,0.78,42.65,55,☆
162,1,RUS,NATALIYA GUSEVA,0.77,26.82,32,☆
163,-2,ENG,ALICE HEWSON,0.76,38.17,50,☆
164,1,IND,DIKSHA DAGAR,0.76,41.62,55,☆
165,1,JPN,HIKARU YOSHIMOTO,0.76,52.16,69,☆
166,11,SIN,SHANNON TAN,0.75,26.27,22,☆
167,3,TPE,WEI-LING HSU,0.75,39.67,53,☆
168,4,KOR,MIN JU KIM,0.74,46.87,63,☆
169,2,KOR,DONGEUN LEE,0.74,25.93,19,☆
170,-1,AUS,KIRSTEN RUDGELEY,0.74,27.37,37,☆
171,-7,THA,TRICHAT CHEENGLAB,0.74,34.01,46,☆
172,-4,KOR,EUN-HEE JI,0.73,34.34,47,☆
173,-6,ESP,ANA PELAEZ TRIVINO,0.72,32.36,45,☆
174,4,KOR,JIWON HONG,0.71,43.25,61,☆
175,-2,CHN,YAN LIU,0.71,33.21,47,☆
176,—,ENG,GABRIELLA COWLEY,0.71,33.9,48,☆
177,-2,SWE,CAROLINE HEDWALL,0.7,28.12,40,☆
178,2,JPN,MIYUU ABE,0.7,46.78,67,☆
179,-5,USA,CAROLINE INGLIS,0.7,25.07,36,☆
180,3,KOR,HEE JEONG LIM,0.69,38.89,56,☆
181,—,GER,ALINE KRAUTER,0.69,26.3,38,☆
182,2,AUT,EMMA SPITZ,0.69,27.48,40,☆
183,-4,ENG,CARA GAINER,0.68,28.65,42,☆
184,10,JPN,AYAKO KIMURA,0.68,47.66,70,☆
185,-3,USA,LIZETTE SALAS,0.68,23.72,31,☆
186,2,JPN,MITSUKI KOBAYASHI,0.68,30.39,45,☆
187,5,KOR,SUNJU AHN,0.67,37.7,56,☆
188,-3,THA,P.K. KONGKRAPHAN,0.67,23.54,34,☆
189,11,NOR,CELINE BORGE,0.67,34.88,52,☆
190,-4,ESP,MARIA HERNANDEZ,0.67,34.11,51,☆
191,—,CHN,XIAOWEN YIN,0.67,26.03,39,☆
192,-3,USA,LINDSEY WEAVER-WRIGHT,0.66,25.16,38,☆
193,-3,KOR,YEUNJUNG SEO,0.66,39.02,59,☆
194,1,USA,LINDY DUNCAN,0.66,28.86,44,☆
195,2,USA,KRISTEN GILLMAN,0.66,30.16,46,☆
196,—,COL,MARIAJO URIBE,0.66,22.93,31,☆
197,-4,FRA,PAULINE ROUSSIN,0.65,33.38,51,☆
198,-11,USA,ELIZABETH SZOKOL,0.65,26.61,41,☆
199,3,KOR,SEUNGYEON LEE,0.64,38.93,61,☆
200,3,KOR,GYEOL PARK,0.64,37.46,59,☆
201,3,JPN,SHINA KANAZAWA,0.63,42.35,67,☆
202,-1,KOR,MINSOL KIM,0.63,22.11,14,☆
203,-5,MEX,MARIA FASSI,0.62,31.82,51,☆
204,1,KOR,HYOSONG LEE,0.62,21.78,9,☆
205,5,KOR,HYEJUN PARK,0.62,21.73,35,☆
206,-7,USA,AUSTON KIM,0.62,27.26,44,☆
207,-1,JPN,KOTONE HORI,0.61,40.91,67,☆
208,5,JPN,KAREN TSURUOKA,0.61,33.4,55,☆
209,6,KOR,UH JIN SEO,0.61,36.37,60,☆
210,-1,RSA,CASANDRA ALEXANDER,0.6,22.34,37,☆
211,1,JPN,MAMI FUKUDA,0.6,34.99,58,☆
212,-5,CZE,KLARA DAVIDSON SPILKOVA,0.6,25.9,43,☆
213,-2,JPN,SHOKO SASAKI,0.6,42.69,71,☆
214,-6,THA,JARAVEE BOONCHANT,0.6,28.8,48,☆
215,5,ESP,MARTA MARTIN,0.6,20.98,35,☆
216,-2,JPN,YUKA NII,0.6,41.34,69,☆
217,-1,KOR,DOYEONG PARK,0.6,32.29,54,☆
218,4,ITA,ALESSANDRA FANALI,0.59,20.77,32,☆
219,-1,KOR,HYUNJO YOO,0.59,20.66,20,☆
220,1,KOR,KABIN CHOI,0.59,33.64,57,☆
221,3,ESP,NURIA ITURRIOZ,0.59,27.55,47,☆
222,4,RSA,LEE-ANNE PACE,0.58,25.66,44,☆
223,—,TPE,CHIA YEN WU,0.58,29.92,52,☆
224,-7,JPN,MIO KOTAKI,0.57,26.87,47,☆
225,-6,FRA,NASTASIA NADAUD,0.57,23.95,42,☆
226,-1,AUS,KARIS DAVIDSON,0.57,20.95,37,☆
227,1,JPN,MOMOKO OSATO,0.56,40.9,73,☆
228,1,IRL,LAUREN WALSH,0.56,19.43,21,☆
229,6,KOR,JIWON JEON,0.55,22.1,40,☆
230,2,KOR,JOOMI LEE,0.55,34.08,62,☆
231,—,KOR,JEONGMEE HWANG,0.55,35.66,65,☆
232,-5,SWE,SARA KJELLKER,0.55,21.34,39,☆
233,-3,JPN,MAO NOZAWA,0.54,41.87,77,☆
234,-1,JPN,ASUKA KASHIWABARA,0.54,38.66,72,☆
235,17,JPN,REIKA USUI,0.53,28.7,54,☆
236,5,ENG,AMY TAYLOR,0.53,18.97,36,☆
237,-3,JPN,YUMEKA KOBAYASHI,0.53,28.4,54,☆
238,-2,KOR,DA BEEN HEO,0.52,28.12,54,☆
239,-1,KOR,JEONGMIN MOON,0.51,24.7,48,☆
240,-1,KOR,WOOJEONG KIM,0.51,28.56,56,☆
241,2,GER,LAURA FUENFSTUECK,0.51,23.9,47,☆
242,-5,CHN,RUIXIN LIU,0.5,18.66,37,☆
243,19,USA,STACY LEWIS,0.5,20.42,41,☆
244,-4,THA,PORNANONG PHATLUM,0.49,22.18,45,☆
